Grupo;Categoria;Reino;Tipo;Opção;Chave (não alterar);Pontos;Benefício;Malefício;Efeito mecânico (opcional);Observações
Física;Estatura;;Desvantagem;Baixinho;fisica.estatura.baixinho;+2;;;;
Física;Estatura;;Vantagem;Gigante;fisica.estatura.gigante;-2;;;;
Física;Beleza;;Desvantagem;Feio;fisica.beleza.feio;+2;;;;
Física;Beleza;;Vantagem;Bonito;fisica.beleza.bonito;-2;;;;
Física;Deficiência;;Desvantagem;Deficiente;fisica.deficiencia.deficiente;+2;;;;
Física;Deficiência;;Vantagem;Perfeito;fisica.deficiencia.perfeito;-2;;;;
Física;Dependência;;Desvantagem;Dependente;fisica.dependencia.dependente;+2;;;;
Física;Dependência;;Vantagem;Sóbrio;fisica.dependencia.sobrio;-2;;;;
Física;Porte;;Desvantagem;Frágil;fisica.porte.fragil;+2;;;;
Física;Porte;;Vantagem;Forte;fisica.porte.forte;-2;;;;
Física;Saúde;;Desvantagem;Alérgico;fisica.saude.alergico;+2;;;;
Física;Saúde;;Vantagem;Superhumano;fisica.saude.superhumano;-2;;;;
Social;Aliança;;Desvantagem;Inimigo;social.alianca.inimigo;+2;;;;
Social;Aliança;;Vantagem;Aliado;social.alianca.aliado;-2;;;;
Social;Classe;;Desvantagem;Pobre;social.classe.pobre;+2;;;;
Social;Classe;;Vantagem;Rico;social.classe.rico;-2;;;;
Social;Finanças;;Desvantagem;Dívida;social.financas.divida;+2;;;;
Social;Finanças;;Vantagem;Herança;social.financas.heranca;-2;;;;
Social;Fama;;Desvantagem;Procurado;social.fama.procurado;+2;;;;
Social;Fama;;Vantagem;Afamado;social.fama.afamado;-2;;;;
Social;Religião;;Desvantagem;Ateu;social.religiao.ateu;+2;;;;
Social;Religião;;Vantagem;Devoto;social.religiao.devoto;-2;;;;
Social;Mestre;;Desvantagem;Odiado;social.mestre.odiado;+2;;;;
Social;Mestre;;Vantagem;Adorado;social.mestre.adorado;-2;;;;
Pessoal;Atenção;;Desvantagem;Distraído;pessoal.atencao.distraido;+2;;;;
Pessoal;Atenção;;Vantagem;Vigilante;pessoal.atencao.vigilante;-2;;;;
Pessoal;Coragem;;Desvantagem;Covarde;pessoal.coragem.covarde;+2;;;;
